beauceron 3 2 3 2 2 2 3
basset    1 1 1 1 1 2 2
ber_allem 3 2 3 3 2 2 3
boxer     2 2 2 2 2 2 1
bull-dog  1 1 1 2 2 1 1
bull-mass 3 3 1 3 1 2 3
caniche   1 1 2 3 2 1 1
chihuahua 1 1 1 1 2 1 1
cocker    2 1 1 2 2 2 1
colley    3 2 3 2 2 1 1
dalmatien 2 2 2 2 2 1 1
dobermann 3 2 3 3 1 2 3
dogue_all 3 3 3 1 1 2 3
epagn_bre 2 2 2 3 2 1 2
epagn_fra 3 2 2 2 1 1 2
fox_hound 3 2 3 1 1 2 2
fox_terri 1 1 2 2 2 2 1
grand_ble 3 2 2 1 1 2 2
labrador  2 2 2 2 2 1 2
levrier   3 2 3 1 1 1 2
mastiff   3 3 1 1 1 2 3
pekinois  1 1 1 1 2 1 1
pointer   1 2 3 3 1 1 2
saint_ber 3 3 1 2 1 2 3
setter    1 2 3 2 1 1 2
teckel    1 1 1 2 2 1 1
terre_neu 3 3 1 2 1 1 3
