county;region;having_electricity_f;having_radio_f;having_television_f;having_refrigirator_f;having_landlinephone_f;having_mobilephone_f;having_solarpanel_f;having_table_f;having_chair_f;having_sofa_f;having_bed_f;having_cupboard_f;having_clock_f;having_microwave_f;having_dvdplayer_f;having_cdplayer_f
Nyandarua;Central;0.2326203209;0.8315508021;0.3636363636;0.0187165775;0.0013386881;0.9196787149;0.2393048128;0.9237967914;0.9197860963;0.6978609626;0.9772727273;0.702811245;0.2319034853;0.0080428954;0.2088353414;0.109772423
Nyeri;Central;0.4923798359;0.837045721;0.5427901524;0.0704225352;0.0058685446;0.9449003517;0.1359906213;0.9577960141;0.9531066823;0.8264947245;0.9917936694;0.7655334115;0.3001172333;0.0386869871;0.3544600939;0.2297772567
Kirinyaga;Central;0.332464146;0.7470664928;0.408083442;0.0469361147;0.0026109661;0.8916449086;0.1307189542;0.8943937419;0.7887874837;0.7663185379;0.9790849673;0.6379084967;0.2219321149;0.0287581699;0.2584856397;0.1057441253
Muranga;Central;0.3349225268;0.799761621;0.3325387366;0.0321811681;0.0011933174;0.8855780691;0.1148325359;0.9427890346;0.9308700834;0.6460071514;0.9928486293;0.7446300716;0.2455303933;0.0178784267;0.2181168057;0.0882002384
Kiambu;Central;0.6726618705;0.8285371703;0.5966386555;0.1247002398;0.0048192771;0.928057554;0.0504201681;0.9351740696;0.9220623501;0.8391356543;0.9795918367;0.7487980769;0.3537906137;0.0721153846;0.4170673077;0.2160864346
Mombasa;Coast;0.7633209418;0.6820448878;0.6074534161;0.1622971286;0.0076726343;0.9540942928;0.0125944584;0.7755610973;0.6273525721;0.6092384519;0.9179104478;0.4378109453;0.2759051186;0.0743073048;0.4490049751;0.2584269663
Kwale;Coast;0.2116991643;0.4730290456;0.1969486824;0.0760719225;0.0041551247;0.8227146814;0.0692520776;0.6542185339;0.8118948824;0.2465373961;0.8824343015;0.1977869986;0.1313969571;0.0331950207;0.1369294606;0.0899031812
Kilifi;Coast;0.3088607595;0.4576485461;0.2433460076;0.0709759189;0.0038167939;0.8301647655;0.0600255428;0.6970849176;0.8430379747;0.2481012658;0.9126582278;0.2341772152;0.1166032953;0.0202531646;0.164556962;0.1075949367
Tana River;Coast;0.0617110799;0.3786816269;0.0869565217;0.0210378682;0.0014025245;0.7303370787;0.064516129;0.3548387097;0.3548387097;0.0887323944;0.6905766526;0.1009817672;0.0323033708;0.0042075736;0.064516129;0.0280504909
Lamu;Coast;0.3601147776;0.5968436155;0.3070301291;0.1076040172;0.0057636888;0.8637015782;0.1721664275;0.6484935438;0.7044476327;0.2797704448;0.9038737446;0.3448275862;0.2;0.0172413793;0.2097701149;0.0977011494
Taita Taveta;Coast;0.3378196501;0.6478494624;0.2862903226;0.063172043;0.0067294751;0.8802153432;0.1130551817;0.8481182796;0.8319892473;0.4206989247;0.9569892473;0.4266487214;0.2137096774;0.0255376344;0.2123655914;0.1048387097
Marsabit;Eastern;0.2482269504;0.3276595745;0.1914893617;0.0212765957;0.0127659574;0.5475177305;0.0496453901;0.3985815603;0.4425531915;0.2883522727;0.5787234043;0.1517730496;0.0624113475;0.009929078;0.0780141844;0.0212765957
Isiolo;Eastern;0.2206896552;0.3856749311;0.2148760331;0.0331034483;0.0041322314;0.6308539945;0.0633608815;0.6115702479;0.6184573003;0.3966942149;0.8937931034;0.2648275862;0.0703448276;0.0262068966;0.1144827586;0.0744827586
Meru;Eastern;0.2880755608;0.6233766234;0.3010625738;0.0461538462;0.0011820331;0.8536009445;0.1546635183;0.852420307;0.6619385343;0.5342789598;0.9728453365;0.4025974026;0.1325443787;0.0283353011;0.1806375443;0.0578512397
Tharaka;Eastern;0.1467025572;0.6271870794;0.2045760431;0.0148247978;0.0067294751;0.7722371968;0.1749663526;0.8005390836;0.807277628;0.3606998654;0.983805668;0.3741588156;0.1361185984;0.0053835801;0.1022880215;0.0753701211
Embu;Eastern;0.2820512821;0.7230769231;0.3256410256;0.0564102564;0.0038510911;0.8575096277;0.1439588689;0.8948717949;0.8602564103;0.5807692308;0.971758665;0.5628205128;0.2233632863;0.0346153846;0.2002567394;0.0820512821
Kitui;Eastern;0.1141104294;0.5938650307;0.1239263804;0.0257668712;0.0024539877;0.8331288344;0.1325153374;0.8588957055;0.9742331288;0.282208589;0.954601227;0.290797546;0.1337423313;0.0085889571;0.0797546012;0.0466257669
Machakos;Eastern;0.205952381;0.7333333333;0.2452380952;0.0214285714;0.0023866348;0.8976190476;0.1678571429;0.9202380952;0.9238095238;0.5785714286;0.9761904762;0.5654761905;0.2828162291;0.0178571429;0.1299165673;0.1142857143
Makueni;Eastern;0.1118012422;0.6869565217;0.150310559;0.0124378109;0.001242236;0.8869565217;0.1778606965;0.898136646;0.9652173913;0.4191542289;0.9826086957;0.4651741294;0.1791044776;0.0049689441;0.0944099379;0.0944099379
Garissa;North Eastern;0.2215088283;0.2953451043;0.1561996779;0.0593900482;0.0016051364;0.7427652733;0.0417335474;0.4251207729;0.5056179775;0.1690821256;0.948635634;0.1524879615;0.0482315113;0.0048154093;0.062600321;0.0497592295
Wajir;North Eastern;0.1870748299;0.3775510204;0.1311754685;0.0595238095;0.003407155;0.6422487223;0.0307692308;0.380952381;0.3401360544;0.133105802;0.8792517007;0.0714285714;0.0119047619;0.0017006803;0.0476190476;0.0340136054
Mandera;North Eastern;0.1377708978;0.2914728682;0.0944272446;0.0310077519;0.0046511628;0.5247678019;0.0186625194;0.5295031056;0.6021671827;0.0945736434;0.9690402477;0.0789473684;0.0464396285;0;0.0341085271;0.0341085271
Siaya;Nyanza;0.1248439451;0.6903870162;0.1877346683;0.024968789;0.0049937578;0.7952559301;0.1140350877;0.93375;0.9675405743;0.607008761;0.9325842697;0.4504391468;0.25281602;0.0125156446;0.0863579474;0.0926157697
Kisumu;Nyanza;0.349127182;0.783042394;0.3670411985;0.0910224439;0.0037453184;0.8890274314;0.0726817043;0.9364089776;0.9600997506;0.5586034913;0.9264339152;0.4663341646;0.2646691635;0.036159601;0.246882793;0.187032419
Migori;Nyanza;0.0757020757;0.6393643032;0.1593137255;0.0122249389;0.0024509804;0.7875457875;0.0971709717;0.9105392157;0.9449204406;0.4394124847;0.9129901961;0.2977941176;0.1136919315;0.0048899756;0.0879120879;0.0500610501
Homa Bay;Nyanza;0.1052631579;0.6608260325;0.1829573935;0.0125156446;0.0087609512;0.820802005;0.1618569636;0.944931164;0.9599499374;0.6232790989;0.9361702128;0.3629536921;0.14160401;0.0112640801;0.0813516896;0.0450563204
Kisii;Nyanza;0.2804733728;0.6568047337;0.278436019;0.0260663507;0;0.8378698225;0.0699052133;0.9561611374;0.9207100592;0.6331360947;0.9845971564;0.4426035503;0.1218934911;0.0106508876;0.1763313609;0.0887573964
Nyamira;Nyanza;0.2120383037;0.7135061392;0.2496589359;0.0150068213;0.0013661202;0.9031377899;0.1236263736;0.9603825137;0.9713114754;0.5677154583;0.9849726776;0.482946794;0.106557377;0.0095628415;0.099726776;0.031420765
Turkana;Rift Valley;0.0408163265;0.0860058309;0.0451895044;0.0131195335;0.0014577259;0.3313868613;0.0364431487;0.1690962099;0.2376093294;0.0787172012;0.1635036496;0.0539358601;0.0174927114;0.0014577259;0.0174927114;0.0116618076
